comments_sampled_per_video,eligible_videos,topic_number,topic_label,metric,repetitions,median_rho,mean_rho,rho_q025,rho_q25,rho_q75,rho_q975,minimum_rho,maximum_rho,positive_fraction,negative_fraction,stage_08c_threshold_rho,median_minus_stage_08c_rho
10,591,6,"Praise, gratitude and social endorsement",view_count,100,-0.1867675479330373,-0.1859567232602428,-0.2256473277949391,-0.19912898244274263,-0.17403576588674854,-0.14954435574180402,-0.2374162363034055,-0.14589797079241532,0.0,1.0,-0.2090753189737961,0.022307771040758817
10,591,6,"Praise, gratitude and social endorsement",views_per_day,100,-0.2781476111458966,-0.27846076811889825,-0.3105810423907817,-0.29417967108370185,-0.2636629981841384,-0.23981477320317846,-0.3247373167277457,-0.2316295136011622,0.0,1.0,-0.3238872831361861,0.0457396719902895
10,591,7,"Alternative methods, challenges and ""why"" questions",api_comment_count,100,-0.0010638853880859426,-0.0034797848567517764,-0.06173033818280238,-0.025977514569132318,0.016671263300215032,0.05301911818060135,-0.08282295593571222,0.07335510604114603,0.49,0.51,0.0713996345009556,-0.07246351988904154
10,591,7,"Alternative methods, challenges and ""why"" questions",api_comments_per_1000_views,100,-0.13496271880584054,-0.13527933123671038,-0.18672933779134193,-0.15517904152704748,-0.12058924186173331,-0.07891034389317451,-0.1934022922288055,-0.062282140487425995,0.0,1.0,-0.1839696074414663,0.049006888635625745
10,591,7,"Alternative methods, challenges and ""why"" questions",api_comments_per_day,100,0.015421303475061862,0.015468328709380655,-0.04535934941760258,-0.003208628693065059,0.03512103962650362,0.06878828416834153,-0.04939542772186196,0.0956941306487835,0.65,0.35,0.0853959193996165,-0.06997461592455463
10,591,7,"Alternative methods, challenges and ""why"" questions",duration_minutes,100,-0.1203662740564138,-0.12009121578259131,-0.16631136095686386,-0.13883361016405987,-0.09834756488042934,-0.07366040697177408,-0.18953174204851425,-0.06107094888658786,0.0,1.0,-0.136707240325828,0.01634096626941421
10,591,7,"Alternative methods, challenges and ""why"" questions",like_count,100,0.06428956852640566,0.0616822743330823,-0.000950678883444631,0.03984267739667565,0.0833644114114574,0.11577223582474921,-0.004505662186960467,0.14247870994122233,0.97,0.03,0.1459743575965929,-0.08168478907018725
10,591,7,"Alternative methods, challenges and ""why"" questions",likes_per_1000_views,100,-0.028587565894995805,-0.02968645567249512,-0.09349367405260339,-0.050587422895996874,-0.00791693528275508,0.03494550661294131,-0.10660029866377946,0.04071763831855164,0.17,0.83,-0.0136065694396796,-0.014980996455316205
10,591,7,"Alternative methods, challenges and ""why"" questions",view_count,100,0.08107859762827041,0.08375185290025357,0.024860387471582236,0.06332081552469399,0.10784355977656514,0.13560875264728567,0.003423954417963719,0.16003903379028075,1.0,0.0,0.1599513801844342,-0.07887278255616378
10,591,7,"Alternative methods, challenges and ""why"" questions",views_per_day,100,0.09916678382291214,0.09863600028013143,0.0383904597022567,0.0785190961136035,0.12003349628390521,0.16273045593786295,0.022777880163891612,0.1761622865317297,1.0,0.0,0.1847998287528663,-0.08563304492995416
10,591,8,"Solar PV, batteries and power systems",api_comment_count,100,0.09891838065241267,0.10120263099834569,0.06284181854813022,0.08995413802736528,0.11255942702358829,0.14801287813302624,0.048488606198569435,0.16647824644108403,1.0,0.0,0.1497870624872822,-0.05086868183486955
10,591,8,"Solar PV, batteries and power systems",api_comments_per_1000_views,100,0.1547793705643042,0.1569934742610344,0.1189381098785234,0.1440954924686116,0.1702418817410924,0.20228964353037518,0.09664345217999512,0.2114399199257811,1.0,0.0,0.1887817402584481,-0.034002369694143914
10,591,8,"Solar PV, batteries and power systems",api_comments_per_day,100,0.16775367218063758,0.16918407238678732,0.12485605303748228,0.15548522164663534,0.18710907136521798,0.20903323732163095,0.1142759579598735,0.2228348896440491,1.0,0.0,0.2193864247988382,-0.051632752618200606
10,591,8,"Solar PV, batteries and power systems",duration_minutes,100,0.10262764432593217,0.10268486414658134,0.0589451360051652,0.08838660571653799,0.11826425508123486,0.13906043943830187,0.0514816101090938,0.14670411686062568,1.0,0.0,0.1247558270624648,-0.022128182736532623
10,591,8,"Solar PV, batteries and power systems",like_count,100,0.05849838859363585,0.0573677248272624,0.023862367477787555,0.041925163957923395,0.06939809405347938,0.1033727296309397,0.0029403914626432567,0.11392442242645608,1.0,0.0,0.090740452768416,-0.03224206417478015
10,591,8,"Solar PV, batteries and power systems",likes_per_1000_views,100,0.19797485935596454,0.1991452562479734,0.1641830692826429,0.18614718501086966,0.2133125614393269,0.2392939107399968,0.14253209559397179,0.25606297048456816,1.0,0.0,0.244373545327163,-0.04639868597119845
