comments_sampled_per_video,repetition,seed,eligible_videos,topic_number,topic_label,metric,spearman_rho
10,2,21260830,591,7,"Alternative methods, challenges and ""why"" questions",view_count,0.07262406184018172
10,2,21260830,591,7,"Alternative methods, challenges and ""why"" questions",like_count,0.07208428050641005
10,2,21260830,591,7,"Alternative methods, challenges and ""why"" questions",api_comment_count,0.01821881588831677
10,2,21260830,591,7,"Alternative methods, challenges and ""why"" questions",likes_per_1000_views,0.022786749262692824
10,2,21260830,591,7,"Alternative methods, challenges and ""why"" questions",api_comments_per_1000_views,-0.09992607847474298
10,2,21260830,591,7,"Alternative methods, challenges and ""why"" questions",views_per_day,0.11377776082890748
10,2,21260830,591,7,"Alternative methods, challenges and ""why"" questions",api_comments_per_day,0.059058159777245794
10,2,21260830,591,8,"Solar PV, batteries and power systems",duration_minutes,0.12476439659963952
10,2,21260830,591,8,"Solar PV, batteries and power systems",view_count,-0.048395684757583546
10,2,21260830,591,8,"Solar PV, batteries and power systems",like_count,0.03285359552524549
10,2,21260830,591,8,"Solar PV, batteries and power systems",api_comment_count,0.06667259437521775
10,2,21260830,591,8,"Solar PV, batteries and power systems",likes_per_1000_views,0.21038077470909491
10,2,21260830,591,8,"Solar PV, batteries and power systems",api_comments_per_1000_views,0.14825490837433147
10,2,21260830,591,8,"Solar PV, batteries and power systems",views_per_day,0.01669647316423528
10,2,21260830,591,8,"Solar PV, batteries and power systems",api_comments_per_day,0.12083873456005816
10,2,21260830,591,9,Performance checking and troubleshooting,duration_minutes,-0.04402811905058448
10,2,21260830,591,9,Performance checking and troubleshooting,view_count,0.014854401853175686
10,2,21260830,591,9,Performance checking and troubleshooting,like_count,-0.042403650267352835
10,2,21260830,591,9,Performance checking and troubleshooting,api_comment_count,-0.02997587406275484
10,2,21260830,591,9,Performance checking and troubleshooting,likes_per_1000_views,-0.09610746062827091
10,2,21260830,591,9,Performance checking and troubleshooting,api_comments_per_1000_views,-0.03734435202710569
10,2,21260830,591,9,Performance checking and troubleshooting,views_per_day,-0.012313075211607204
10,2,21260830,591,9,Performance checking and troubleshooting,api_comments_per_day,-0.06150096508908054
10,2,21260830,591,10,"Implementation follow-up, outcomes and retrospective questions",duration_minutes,0.02743306873444751
10,2,21260830,591,10,"Implementation follow-up, outcomes and retrospective questions",view_count,-0.014300284820953474
10,2,21260830,591,10,"Implementation follow-up, outcomes and retrospective questions",like_count,-0.013740024925425377
