video_id,topic_01_relative_weight,topic_02_relative_weight,topic_03_relative_weight,topic_04_relative_weight,topic_05_relative_weight,topic_06_relative_weight,topic_07_relative_weight,topic_08_relative_weight,topic_09_relative_weight,topic_10_relative_weight,topic_11_relative_weight,topic_12_relative_weight,topic_13_relative_weight,topic_14_relative_weight,topic_15_relative_weight,topic_16_relative_weight,modelled_comment_count,dominant_topic_number,secondary_topic_number,dominant_topic_label,dominant_relative_weight,secondary_relative_weight,dominance_margin,effective_topic_count,creator_type,video_type,_video_publication_date,publication_year,duration_minutes,view_count,like_count,api_comment_count,likes_per_1000_views,api_comments_per_1000_views,views_per_day,api_comments_per_day
-qXLU6xjwFQ,0.0562710352782509,0.0012052412480869,0.028085886209077,0.0760440027505742,0.0032439102077507,0.0701239633104059,0.0121894131233349,0.2965518627692012,0.197178736272949,0.103425108719138,0.0034696712741993,0.0179966952420454,0.0098607111387159,0.0770346571354249,0.0087167295055379,0.0386023758153072,9,8,9,"Solar PV, batteries and power systems",0.2965518627692012,0.197178736272949,0.0993731264962521,8.517969316498458,diy_renovator_homeowner,how_to_installation_demo,2024-05-23 15:00:00+00:00,2024,19.55,13137,102,41,7.764329755651976,3.1209560782522647,16.60809102402023,0.0518331226295828
-rIyo6bh9A4,0.0804324786955156,0.0088871591960089,0.0750970205993239,0.0474410179892798,0.0196591366226618,0.1840894860455482,0.0185919072242784,0.0095776652203629,0.0517561787228115,0.0158047321104002,0.0017948522114403,0.0878420805050379,0.3186972255121945,0.009851855282705,0.0475316466912393,0.0229455573711912,10,13,6,"Wall, cavity and floor insulation",0.3186972255121945,0.1840894860455482,0.1346077394666462,8.813590220203743,training_educational,how_to_installation_demo,2019-04-17 20:30:01+00:00,2019,6.95,157643,680,35,4.313543893480839,0.2220206415762196,59.39826676714393,0.0131876412961567
-vEJ_fthQFk,0.0718851512401732,0.0019130397698246,0.0712153512102148,0.0430403853896726,0.0674560753169657,0.1806993779380275,0.030392912965481,0.0263524092654367,0.0376722364410163,0.0069138177095829,0.0026669498667935,0.0119648960859659,0.2129765831951741,0.0137266852075442,0.0808072074434518,0.1403169209546745,19,13,6,"Wall, cavity and floor insulation",0.2129765831951741,0.1806993779380275,0.0322772052571466,10.09036726458467,builder_contractor,how_to_installation_demo,2023-06-28 08:03:56+00:00,2023,9.9,22763,191,45,8.390809647234548,1.976892325264684,20.30597680642284,0.0401427297056199
-w5u3R5RELo,0.0085465157416559,0.0,0.0,0.1308363438239618,0.1903852982085228,0.0572305773087365,0.0080151505711896,0.0,0.2273504191027497,0.0,0.0016876982180724,0.0,0.0,0.168188916049181,0.0,0.2077590809759299,1,9,16,Performance checking and troubleshooting,0.2273504191027497,0.2077590809759299,0.0195913381268198,6.042542844643671,installer_tradesperson,how_to_installation_demo,2024-12-26 19:08:06+00:00,2024,0.4833333333333333,9356,30,2,3.206498503634032,0.2137665669089354,16.299651567944252,0.0034843205574912
-yx0KyWunLE,0.1586596761932975,0.0712072649636492,0.0547468660945886,0.0593450089237521,0.0104976236944733,0.0642057785652942,0.0441389119286516,0.0471229714604178,0.0282103642052964,0.0169222594842804,0.0225263813344794,0.1643742692138907,0.0505340788728597,0.0135353492283752,0.0361110367695916,0.1578621590671016,17,12,1,Roof and attic ventilation and airflow,0.1643742692138907,0.1586596761932975,0.0057145930205931,12.001823633891435,diy_renovator_homeowner,problem_warning_mistakes,2022-01-29 12:11:29+00:00,2022,28.0,10550,262,57,24.83412322274881,5.402843601895735,6.4486552567237165,0.034841075794621
-zF_TZVvFIA,0.1840909669839943,0.0368868310569861,0.1810097807042927,0.0648836200628089,0.002689443730871,0.0538478238122281,0.0284373885278486,0.0495584491572517,0.0763677767857614,0.0500148537125772,0.0556965429367441,0.0399164715335176,0.0190038884119608,0.0251748304476993,0.0384843333015365,0.0939369988339209,17,1,3,Situated household retrofit experience and building context,0.1840909669839943,0.1810097807042927,0.0030811862797016,12.118079145256145,builder_contractor,how_to_installation_demo,2024-09-17 18:41:36+00:00,2024,1.0166666666666666,559691,6739,57,12.040572387263683,0.1018419091963244,830.4020771513353,0.0845697329376854
00wwEMbEc_M,0.2369750040019012,0.0022769176873312,0.0517565319929736,0.1075135659048377,0.1682714828386203,0.0088628178951155,0.0659760571557804,0.1180298964387846,0.0429645227679711,0.0137036358070405,0.0149569970594135,0.051609094529856,0.0077263340982836,0.024094811879806,0.0228755832209544,0.0624067467213298,56,1,5,Situated household retrofit experience and building context,0.2369750040019012,0.1682714828386203,0.0687035211632809,10.156856891100247,training_educational,how_to_installation_demo,2025-01-02 23:00:00+00:00,2025,10.433333333333334,98816,1639,192,16.586382772020727,1.9430051813471505,174.27865961199294,0.3386243386243386
021LlXChe90,0.3585423208839188,0.0136784718833257,0.050962782152029,0.0747598206494123,0.0283312356166253,0.0025295148799336,0.0483120529472444,0.0,0.1724436935548658,0.015193976141733,0.0105227954049759,0.0855564619157188,0.0,0.0141534190365748,0.026375436074179,0.0986380188594627,7,1,9,Situated household retrofit experience and building context,0.3585423208839188,0.1724436935548658,0.186098627329053,7.722535327648893,installer_tradesperson,practical_advice_explainer,2024-08-17 15:15:33+00:00,2024,0.3333333333333333,212369,844,26,3.97421469235152,0.1224284146932932,301.2326241134752,0.0368794326241134
0D3YVxxqFsI,0.1872257379133817,0.0171484296704883,0.0511226722813726,0.0349687906506144,0.0972270463695938,0.0341207557126669,0.0703264485715118,0.0562777527429235,0.1821992490307398,0.0145821061416047,0.0057867942268234,0.0431669613259766,0.0834943516212238,0.0309291833688559,0.0516832745521569,0.039740445820065,29,1,9,Situated household retrofit experience and building context,0.1872257379133817,0.1821992490307398,0.0050264888826418,11.901256449165048,diy_renovator_homeowner,how_to_installation_demo,2022-12-30 21:01:34+00:00,2022,5.716666666666667,169736,1417,67,8.348258471980017,0.394730640524108,130.46579554189086,0.0514988470407378
0EQ-pJmPZ-M,0.1432501435068761,0.0050154896976913,0.1177712805502154,0.0679065129316047,0.0241198851077287,0.222011332921007,0.0425166114872794,0.0270791777423077,0.0811644778513856,0.0295207256365287,0.0147383368065097,0.0698125137957356,0.02077479507622,0.0200436884832606,0.0140509804309701,0.1002240479746787,85,6,1,"Praise, gratitude and social endorsement",0.222011332921007,0.1432501435068761,0.0787611894141309,11.0295189514341,training_educational,how_to_installation_demo,2019-12-13 19:00:01+00:00,2019,26.53333333333333,131184,1924,244,14.666422734479816,1.8599829247469204,54.34299917149959,0.1010770505385252
