representation,candidate_topic_count,topic_number,term_rank,term,term_weight
inclusive_primary,12,7,4,use,0.40535079137116936
inclusive_primary,12,7,5,did,0.3916133823325167
inclusive_primary,12,7,6,why would,0.3342980028991578
inclusive_primary,12,7,7,why did,0.3130800284436565
inclusive_primary,12,7,8,did not,0.26949528272776313
inclusive_primary,12,7,9,not just,0.2653131466970996
inclusive_primary,12,7,10,not use,0.2547240166727844
inclusive_primary,12,7,11,just,0.18610106738864055
inclusive_primary,12,7,12,instead,0.10355912194197436
inclusive_primary,12,7,13,would not,0.10273883610564316
inclusive_primary,12,7,14,just use,0.08455008689817606
inclusive_primary,12,7,15,would,0.08349128446550315
inclusive_primary,12,7,16,why use,0.08150946171849795
inclusive_primary,12,7,17,understand,0.08092837021389164
inclusive_primary,12,7,18,know why,0.07957931177215066
inclusive_primary,12,7,19,why does,0.07901441314484875
inclusive_primary,12,7,20,illegal,0.07742537566128908
inclusive_primary,12,8,1,solar,1.4083623794680473
inclusive_primary,12,8,2,panels,0.9806214568512117
inclusive_primary,12,8,3,battery,0.7371931978788082
inclusive_primary,12,8,4,solar panels,0.5658407432826761
inclusive_primary,12,8,5,power,0.5214411330798535
inclusive_primary,12,8,6,panel,0.44357706741348263
inclusive_primary,12,8,7,inverter,0.3881917576699234
inclusive_primary,12,8,8,batteries,0.379803839892358
inclusive_primary,12,8,9,grid,0.32812751029520576
inclusive_primary,12,8,10,cost,0.29725409979451783
inclusive_primary,12,8,11,charge,0.28308887472312655
inclusive_primary,12,8,12,energy,0.256038521456502
inclusive_primary,12,8,13,use,0.25384944884600985
inclusive_primary,12,8,14,solar panel,0.21989865121970786
inclusive_primary,12,8,15,electric,0.1862066910167877
inclusive_primary,12,8,16,kwh,0.17837687230845845
inclusive_primary,12,8,17,need,0.16639902415446972
inclusive_primary,12,8,18,electricity,0.1601817206330938
inclusive_primary,12,8,19,more,0.15232179341917498
inclusive_primary,12,8,20,day,0.1346992354379142
inclusive_primary,12,9,1,does,1.8052898599454537
inclusive_primary,12,9,2,does not,0.8605032181968103
inclusive_primary,12,9,3,wire,0.8014692035580351
inclusive_primary,12,9,4,thermostat,0.7976342306422245
inclusive_primary,12,9,5,not,0.7942602980897961
inclusive_primary,12,9,6,work,0.5370857097310296
inclusive_primary,12,9,7,wires,0.32569795996962164
inclusive_primary,12,9,8,how does,0.28374681684643294
inclusive_primary,12,9,9,boiler,0.28155220401109304
inclusive_primary,12,9,10,need,0.2757864583287295
inclusive_primary,12,9,11,nest,0.2741993586966009
inclusive_primary,12,9,12,not work,0.25400790610277274
inclusive_primary,12,9,13,does work,0.24889943289723473
