feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present
insulated,1,1180,2.7801993261550786,4.581824022796119,0.003882810610831986,0.13965943284367965
getting,1,1132,2.6671064722097872,4.623316577965475,0.0036176866855963195,0.13564087985579912
having,1,1121,2.6411893598473246,4.63307275291084,0.0032642499593819757,0.12359015256561035
electric,1,1089,2.565794123883797,4.662007863770292,0.004024036927702006,0.15683397550271463
board,1,1086,2.5587258205122163,4.664763951872271,0.004124531000472237,0.1611947230691005
vents,1,1069,2.5186721014065925,4.6805269115375285,0.004137543268031684,0.16427478851737023
money,1,1060,2.4974671912918502,4.688973700379497,0.0036512484034135376,0.14619805281705733
long,1,1059,2.49511109016799,4.689916651887367,0.003506502655548751,0.14053493126483063
condensation,1,1050,2.473906180053248,4.69844346811653,0.0037296415351443586,0.15075921492964953
flow,1,1047,2.466837876681667,4.701301974112493,0.0035644034094163154,0.14449281175344478
built,1,1047,2.466837876681667,4.701301974112493,0.0031620199404415643,0.1281811006037835
love,1,1031,2.4291402586999036,4.716686892951973,0.004060128456698545,0.1671426111422467
spray foam,2,1029,2.4244280564521827,4.718626757769799,0.004698989503237604,0.19381847569087818
wire,1,1024,2.4126475508328817,4.723492947420972,0.005105246074946416,0.21160347574116284
battery,1,1015,2.3914426407181395,4.732312210855054,0.004237984712340501,0.17721456664617524
less,1,1005,2.367881629479537,4.7422034883337965,0.0030218873221692652,0.1276198642933633
ventilation,1,1001,2.3584572249840963,4.746187557348671,0.0034617951091013054,0.14678218762795875
high,1,1001,2.3584572249840963,4.746187557348671,0.0030299048151277846,0.12846978028818037
radiators,1,991,2.334896213745494,4.756217731708608,0.003568492960373251,0.15283304411414922
looking,1,967,2.278349786772848,4.7807087517169045,0.0033013189724864374,0.14489956685547245
build,1,958,2.2571448766581064,4.790049764110043,0.003217960961230105,0.1425677631289033
cavity,1,942,2.2194472586763423,4.8068745563600235,0.003654333870520766,0.16465062894534274
idea,1,937,2.2076667530570413,4.8121908899872565,0.0033649127019244286,0.15241941281513183
bit,1,937,2.2076667530570413,4.8121908899872565,0.0030612194787119763,0.1386631145517315
expensive,1,923,2.174681337322998,4.827228767351796,0.003635497386462816,0.16717379802127985
come,1,921,2.1699691350752772,4.829395615436887,0.0033130585996114497,0.15267768310891286
point,1,920,2.167613033951417,4.830480802738174,0.0028893759880844225,0.133297592458986
looks,1,912,2.1487642249605354,4.839204958398513,0.0037386098161977634,0.1739888338035983
window,1,905,2.1322715170935136,4.846901532950501,0.0038937348353571375,0.18260971007410276
door,1,903,2.127559314845793,4.849111478601305,0.004238342186456823,0.19921147001083825
insulate,1,902,2.125203213721933,4.850218285576496,0.003552578396309598,0.1671641739185901
