video_id,topic_01_relative_weight,topic_02_relative_weight,topic_03_relative_weight,topic_04_relative_weight,topic_05_relative_weight,topic_06_relative_weight,topic_07_relative_weight,topic_08_relative_weight,topic_09_relative_weight,topic_10_relative_weight,topic_11_relative_weight,topic_12_relative_weight,topic_13_relative_weight,topic_14_relative_weight,topic_15_relative_weight,topic_16_relative_weight,modelled_comment_count,dominant_topic_number,secondary_topic_number,dominant_topic_label,dominant_relative_weight,secondary_relative_weight,dominance_margin,effective_topic_count,creator_type,video_type,_video_publication_date,publication_year
1nQ7k_X2aXA,0.0818390701123004,0.004702799831355359,0.047617721649367555,0.04927007809897521,0.24833844012758718,0.10176282400657426,0.031740336008155436,0.03173214029903002,0.06359109510971822,0.01803227904435479,0.019121983870361146,0.05557630856830595,0.007491619652342588,0.17047911183958975,0.006695463623544394,0.06200872815843774,82,5,14,Heat pumps and heating systems,0.24833844012758718,0.17047911183958975,0.07785932828799744,10.474170372559668,training_educational,practical_advice_explainer,2020-07-04 11:00:01+00:00,2020
1nv4PAqDKUo,0.15168868611898334,0.000501768665704543,0.0025712480531180494,0.030256504679973102,0.0,0.0,0.67608640176334,0.0,0.047751668026604376,0.020278275518928142,0.006021731135987962,0.06484371603736047,0.0,0.0,0.0,0.0,1,7,1,"Alternative methods, challenges and ""why"" questions",0.67608640176334,0.15168868611898334,0.5243977156443567,3.0288447210273826,diy_renovator_homeowner,project_walkthrough,2023-08-04 12:15:00+00:00,2023
1qOaqofMzoA,0.13422936039378597,0.015056213115648476,0.0,0.11121860680864236,0.006923255369378037,0.0,0.06306604418010303,0.18886908666635963,0.2054267082081278,0.01579401614623785,0.18027375898322703,0.0,0.015119551127271804,0.00022346321761341708,0.0,0.06379993578360457,4,9,8,Performance checking and troubleshooting,0.2054267082081278,0.18886908666635963,0.01655762154176818,7.6970324730015065,installer_tradesperson,how_to_installation_demo,2024-09-22 21:11:01+00:00,2024
1qe5faxJ5UQ,0.060078256111362936,0.0012535145312450946,0.005119009977292827,0.11806115534749499,0.04226540024636563,0.12239462778857904,0.023387949682280654,0.020651698550901803,0.24953837736390827,0.004715046797316529,0.15297666657441875,0.0006654008261488169,4.507007704215557e-05,0.14566849153421055,0.0071214770255057635,0.046057857565926175,9,9,11,Performance checking and troubleshooting,0.24953837736390827,0.15297666657441875,0.09656171078948952,8.474922648105546,training_educational,how_to_installation_demo,2024-09-29 18:45:00+00:00,2024
1rNnFXYBj6U,0.09128364018823618,0.12669194198982647,0.07123283705933553,0.03661466989399692,0.008046144533473062,0.029435984937714193,0.017674204684461185,0.008480014386016777,0.02357810268217339,0.010397033471637881,0.014712891462566255,0.04849806618670563,0.2292378966787798,0.010357917243090436,0.2146408835999601,0.05911777100202619,68,13,15,"Wall, cavity and floor insulation",0.2292378966787798,0.2146408835999601,0.01459701307881972,9.689623279197763,builder_contractor,problem_warning_mistakes,2022-11-28 23:00:01+00:00,2022
1rhmEAggMqU,0.05894804140252264,0.020761284370600215,0.0,0.0,0.0,0.0,0.12438680964126282,0.0,0.12458108425428896,0.045077139561701736,0.0,0.09507766303277336,0.039443096868996115,0.0,0.03219562431146171,0.4595292565563923,2,16,9,"Prospective choices, recommendations and alternatives",0.4595292565563923,0.12458108425428896,0.3349481723021034,5.612268303484352,diy_renovator_homeowner,how_to_installation_demo,2025-08-18 23:21:41+00:00,2025
1sPJC71hwQ4,0.04913145729427318,0.0020068620025338905,0.04953850233026456,0.007428571496041256,0.06845114949534374,0.06753163031234859,0.030642065743734678,0.10392131195024315,0.06329701647795845,0.03621007364229035,0.035661422314306274,0.0243611820185461,0.013461511347116229,0.4001322142642085,0.002176615004794842,0.046048414305996224,19,14,8,Thermostat wiring and smart heating controls,0.4001322142642085,0.10392131195024315,0.2962109023139653,8.476221922886952,builder_contractor,how_to_installation_demo,2025-01-28 23:14:07+00:00,2025
1wNLJ9ojP1g,0.2443115622513426,0.0,0.030237009061190635,0.004148604448893437,0.08556306902858159,0.20712883030058907,0.0,0.1010959839950598,0.0,0.0,0.0,0.0,0.0,0.31944700780419943,0.0,0.008067933110143439,1,14,1,Thermostat wiring and smart heating controls,0.31944700780419943,0.2443115622513426,0.07513544555285684,5.178043166244226,installer_tradesperson,practical_advice_explainer,2024-10-13 16:24:23+00:00,2024
2-nc6E1Kvks,0.1019820009246405,0.02338000619721084,0.04061734323921818,0.07553892306291742,0.0254320562406782,0.17247688529071162,0.08948019410732298,0.029122990777395778,0.0583171932259157,0.060916430763005604,0.03257303596822278,0.03733842919807318,0.10038589499720223,0.030790003601344557,0.026385006952453428,0.09526360545368699,62,6,1,"Praise, gratitude and social endorsement",0.17247688529071162,0.1019820009246405,0.07049488436607111,13.325096085011516,diy_renovator_homeowner,how_to_installation_demo,2024-06-29 14:00:01+00:00,2024
2A7Gl2APM6o,0.047063510567580846,0.00954427978533071,0.03186787620327034,0.04422116458240477,0.006188888071814896,0.10098945448471736,0.04741016858421769,0.022341778410527882,0.07325689829985778,0.021601093605750018,0.024602707892934502,0.2041196434432079,0.22841236746752142,0.01698719523486419,0.0402124190706017,0.08118055429539803,63,13,12,"Wall, cavity and floor insulation",0.22841236746752142,0.2041196434432079,0.02429272402431351,10.568290293271826,installer_tradesperson,how_to_installation_demo,2022-12-02 19:00:12+00:00,2022
