comment_id,video_id,inclusive_topic_number,raw_sensitivity_topic_number,mapped_sensitivity_topic_number,same_dominant_topic_after_mapping
Ugw0GP1JWka6tmdSPtN4AaABAg,zxPh7ekFqc4,9,8,9,True
Ugw0GuPEMl9iewktqZ94AaABAg,aqFMFM3xxZ8,7,1,16,False
Ugw0H8DWL4Xj2x0v_nN4AaABAg,zRdPLYCI6Cs,12,11,12,True
Ugw0HfQKsTDxPpYk8194AaABAg,-VJQLcU_YjU,6,7,5,False
Ugw0IGpZ4heZ_TQoW9d4AaABAg,rXJDwjkoEkQ,4,4,4,True
Ugw0IJFDBzRHpavHCp94AaABAg,PMIaIUw7nVA,1,15,8,False
Ugw0IfEwERAA9nJyYJp4AaABAg,H51FYrDR5xs,7,6,7,True
Ugw0IiRTjbmI0f6FZHZ4AaABAg,W9ofvoF3GBk,9,8,9,True
Ugw0IkF7bVw-CBnqTwl4AaABAg,AN4_mkEfDPE,3,3,3,True
Ugw0J4uhUrkudPqI5sd4AaABAg,pvP7IWKHpVA,15,14,15,True
Ugw0JYDhJeHclHKunKB4AaABAg,BXPR0NUn5fA,13,12,13,True
Ugw0K-CVVOtVBmy-x414AaABAg,xxo4Ugx7Yb4,1,5,1,True
Ugw0MA_TPhpnFgh6K3d4AaABAg,1kz1c-rZsDk,8,15,8,True
Ugw0MBnSYgUuXHtM_jF4AaABAg,XNfUB8lWLAc,5,7,5,True
Ugw0MYKcyZe9g_k-ouR4AaABAg,w4s-oE-VQwg,8,15,8,True
Ugw0MvA7Wx2JOL7n0854AaABAg,dB8p6pVuPAo,1,5,1,True
Ugw0MxZnKMoyZgcemJp4AaABAg,KxHcu7JvZwk,12,11,12,True
Ugw0NLW1N0a8oKFnWYl4AaABAg,bKTsLHSS7i4,1,5,1,True
Ugw0ONZpJwQiAad8O1R4AaABAg,Kl3EAJD7Kbs,12,11,12,True
Ugw0OOBaFgWyEqt1AkV4AaABAg,bsJkMuMDy_c,1,5,1,True
Ugw0P7JPo29Y_9kfHMd4AaABAg,jKiXJOX4ol8,8,15,8,True
Ugw0PPB_fw_9Ul9dz6p4AaABAg,PHeTx5sGL3A,3,3,3,True
Ugw0PrZxpu-dmB9rDRx4AaABAg,KIbJ6CBhWoI,9,8,9,True
Ugw0Qa1ODsefBVK1bE94AaABAg,pWicJ2PYQF8,10,9,10,True
Ugw0QdSkXaBxYqy6i5d4AaABAg,SkF1U4vrlhU,9,8,9,True
Ugw0Qp9-MpDcb2GXgXN4AaABAg,JyFMQuSUV2U,3,3,3,True
Ugw0RKwTmPLg7h8FsjV4AaABAg,WBrL9153zJQ,7,6,7,True
Ugw0RO39ej7egMpC0o14AaABAg,irytqcJZSps,13,12,13,True
Ugw0RlGWQ4turFYBfsh4AaABAg,wnnwGVBwwvQ,9,8,9,True
Ugw0RotB5jmJcQt940Z4AaABAg,zmYtFOSPx2o,13,12,13,True
Ugw0RtGA2gTOm9qyJbJ4AaABAg,skCWSbgqeiQ,8,15,8,True
Ugw0Rx04Z5hTy7FYTVJ4AaABAg,1N_ZsLrfUJM,8,12,13,False
Ugw0RzAojsVA6IP73Yl4AaABAg,LL6YhT_HkIY,16,7,5,False
Ugw0SuXekKP4-jnAGel4AaABAg,PgrjjfKmdRc,6,5,1,False
Ugw0T1toChz8cZy09qV4AaABAg,xcAwujfTN64,8,15,8,True
Ugw0TUi-nradDxMuUMt4AaABAg,bsJkMuMDy_c,5,7,5,True
Ugw0TUwdXnW9cAbWAqd4AaABAg,6WgK-YFqwLk,11,10,11,True
Ugw0TxaEr-cmuQHVFt14AaABAg,s93KLWSSZMk,13,12,13,True
Ugw0U-VrasT3mql5d5h4AaABAg,dEDitJnRgz4,6,3,3,False
Ugw0UcXRJAs7Q6GfMo54AaABAg,ZAZWYBFipmI,2,2,2,True
Ugw0UenKbIO_rKdZEXB4AaABAg,KH1U2gLK8Y8,16,1,16,True
Ugw0Uv2PuqNL5bv3OoJ4AaABAg,bRW2omjqJx4,4,4,4,True
Ugw0V7cjPfo6SWvVXVR4AaABAg,uD82_NWpjlw,13,12,13,True
Ugw0Vy8DYQskNdW63Wd4AaABAg,OAok8omYqSY,5,7,5,True
Ugw0VyEqKbDhfc6gylB4AaABAg,WBrL9153zJQ,8,15,8,True
Ugw0WVDye6H4F5vRDXh4AaABAg,PsN5AbUz3p8,12,8,9,False
Ugw0Wato0uyTlJX2VJZ4AaABAg,w6wo2URorG4,7,6,7,True
Ugw0Whx7loHhWAkZVbd4AaABAg,xrCNfNFRW04,8,15,8,True
Ugw0X_R2QmAdFlA6h-h4AaABAg,jUehMdNfGrY,16,1,16,True
Ugw0XspzrFOPw9zOx114AaABAg,ABjqoJ0eXYo,14,13,14,True
Ugw0Yk2Q5QmgObZX9qh4AaABAg,zmYtFOSPx2o,15,14,15,True
Ugw0Z3YOc51UWo1mzh14AaABAg,bRW2omjqJx4,8,15,8,True
Ugw0ZKZaQdRcEf-JkrN4AaABAg,U522et_9P70,12,11,12,True
Ugw0ZaLJ_qA6RSGXBxR4AaABAg,q6q_70hEl2g,6,1,16,False
Ugw0ZcsBl7F8xeTzBed4AaABAg,9OFpzKn0cq4,12,11,12,True
Ugw0_0AB_iF37j_HgK54AaABAg,Kz5JbXTo4rM,8,15,8,True
Ugw0_VbOjUegLprkYTV4AaABAg,ABjqoJ0eXYo,9,1,16,False
Ugw0_wLrk0b6hxyB1jJ4AaABAg,l7Ovl2WoDkQ,12,11,12,True
Ugw0_zE5NSEyeR4p6rt4AaABAg,I7GD0MB8SzY,15,14,15,True
Ugw0a90EZRV0ZLbyDTZ4AaABAg,5sqw7vHwhGU,1,1,16,False
Ugw0b2HH6tQbbwEKNWB4AaABAg,3zUMOblSJ60,12,16,6,False
Ugw0bSx5rrg1Zuo1fuB4AaABAg,GnZIHwdO--0,8,15,8,True
Ugw0bucbeBV4rbsljYh4AaABAg,RlQjU6gQcFU,4,4,4,True
Ugw0cgzyk229V7UsRo54AaABAg,46-e73YYEpM,11,10,11,True
Ugw0cwOpEcINpWt9K4V4AaABAg,qmWRN3Ob1Po,4,4,4,True
Ugw0d6zRD2bhSCC8gPl4AaABAg,YhGoeR4Q4tM,12,11,12,True
Ugw0dRuxKzNJ_CVwmYt4AaABAg,i387q3ob8gE,4,4,4,True
Ugw0dfcl84NPFYWL-cJ4AaABAg,M5tyd3ayt80,12,11,12,True
Ugw0e9HGY9a7CEBCOjR4AaABAg,i41oW85zPm8,8,15,8,True
Ugw0eEVH8KejQ7BG7jl4AaABAg,PsN5AbUz3p8,7,6,7,True
Ugw0eI7_i-WjqhdyBRZ4AaABAg,UUalCAU4W8g,4,4,4,True
Ugw0ei-wdgHWZz2WWC94AaABAg,0M9QzdPhm58,14,13,14,True
Ugw0etQ3huPZ12zWZZp4AaABAg,uLPNrGdu0W0,9,8,9,True
Ugw0fW4pWY6N8Bo3YD14AaABAg,I7GD0MB8SzY,16,5,1,False
Ugw0fiGcEbX_JimXDqp4AaABAg,AGgixk6jaew,6,9,10,False
Ugw0fjkBqwqQ5wQQExd4AaABAg,mobbhOH5teg,11,10,11,True
Ugw0fsO4_GEBGEY1D2h4AaABAg,C1fttmKe-_Q,5,5,1,False
Ugw0ha5c9zqFfKQKgxd4AaABAg,LVYSz1CuuDw,9,8,9,True
Ugw0hzDNbUhoP_WJ5e94AaABAg,zaaaVfjdYnQ,12,11,12,True
Ugw0i7vDbyl9emMK0th4AaABAg,gLFH0GvBLlA,7,6,7,True
Ugw0ir5R5CQ6-OeVpqh4AaABAg,ahFDXqc1wpo,8,15,8,True
Ugw0jA-Joa86x5O4REd4AaABAg,Rw5np777JDc,2,2,2,True
Ugw0jOkauOGl7SlrSkZ4AaABAg,o2Y9elh24wc,10,5,1,False
Ugw0jSJawPhcsHm2N4Z4AaABAg,BcsBr4cqEAU,14,13,14,True
Ugw0kJ-twHMg5-6nF114AaABAg,ttO04DVW3V0,1,15,8,False
Ugw0kJ0tMyd8495JwJB4AaABAg,Genu_Plnp2M,15,12,13,False
Ugw0kRqdmb0QqTr_wKF4AaABAg,xc_BbbMi1cg,16,1,16,True
Ugw0kwPI1eRXhtEoJSx4AaABAg,hjlVL4sgqKw,5,5,1,False
Ugw0l8GkOCR4iY9GRDB4AaABAg,sSDytAtzk0U,14,13,14,True
Ugw0lUtwV1i4MMzbiZ94AaABAg,KMjAD1by_vc,3,3,3,True
Ugw0lmJ_3TvqxMlwYNh4AaABAg,HFlIbNAUWkY,16,16,6,False
Ugw0lthCv35YQ2LjLUx4AaABAg,gAighJSlw_M,9,8,9,True
Ugw0lzB6fdQ1htTt9rZ4AaABAg,3zUMOblSJ60,12,5,1,False
Ugw0m-qAcqNz7Ere8wl4AaABAg,uRiljSMVjyw,1,5,1,True
Ugw0m1HRefr3gKewklF4AaABAg,tUWJTF9nyaQ,15,14,15,True
Ugw0m8URlqekLBkVqd94AaABAg,rRqV8BHE8lY,8,15,8,True
Ugw0mx3mc5-3I7ERSBV4AaABAg,2Apa2WcG9z0,8,15,8,True
Ugw0n0n8CUKQM2YmT5J4AaABAg,AGgixk6jaew,4,4,4,True
Ugw0nTAPnlB-JsxDGPN4AaABAg,xc_BbbMi1cg,16,5,1,False
Ugw0nl_Wl9D44Swlwh94AaABAg,tUWJTF9nyaQ,2,2,2,True
