feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present,removal_basis
videos like,2,27,0.0635488502365429,8.324772451927032,0.0001650062584187,0.2596526259791143,N-gram containing a sensitivity stop word
videos really,2,27,0.0635488502365429,8.324772451927032,0.0001320774130875,0.2078360388834166,N-gram containing a sensitivity stop word
love content,2,26,0.0611951891166709,8.361140096097905,0.0001845224509953,0.3015309759784991,N-gram containing a sensitivity stop word
video should,2,26,0.0611951891166709,8.361140096097905,0.0001750457327319,0.2860449248685553,N-gram containing a sensitivity stop word
what great,2,26,0.0611951891166709,8.361140096097905,0.0001873829640427,0.3062053843570257,N-gram containing a sensitivity stop word
youtube videos,2,26,0.0611951891166709,8.361140096097905,0.0001267586596693,0.2071382758988364,N-gram containing a sensitivity stop word
amazing video,2,25,0.058841527996799,8.398880424080753,0.0001971199440787,0.3350014025628878,N-gram containing a sensitivity stop word
best video,2,25,0.058841527996799,8.398880424080753,0.0001867462225275,0.3173714702611565,N-gram containing a sensitivity stop word
great tips,2,25,0.058841527996799,8.398880424080753,0.0001449728971129,0.2463785391855679,N-gram containing a sensitivity stop word
steve great,2,25,0.058841527996799,8.398880424080753,0.0001445889091998,0.2457259594070435,N-gram containing a sensitivity stop word
thank videos,2,25,0.058841527996799,8.398880424080753,0.0001585922583745,0.269524371262388,N-gram containing a sensitivity stop word
video like,2,25,0.058841527996799,8.398880424080753,0.0001283337017473,0.2181005594456106,N-gram containing a sensitivity stop word
video why,2,25,0.058841527996799,8.398880424080753,0.000189807413399,0.3225739029234358,N-gram containing a sensitivity stop word
did great,2,24,0.056487866876927,8.438101137234035,0.0001327985137773,0.2350921022857502,N-gram containing a sensitivity stop word
enjoyed video,2,24,0.056487866876927,8.438101137234035,0.000143445751701,0.2539408188550309,N-gram containing a sensitivity stop word
great not,2,24,0.056487866876927,8.438101137234035,0.0001117608346988,0.1978492743270333,N-gram containing a sensitivity stop word
great way,2,24,0.056487866876927,8.438101137234035,0.0001492385857987,0.2641958247847336,N-gram containing a sensitivity stop word
thanks good,2,24,0.056487866876927,8.438101137234035,0.0001452338327231,0.2571062437878691,N-gram containing a sensitivity stop word
thanks taking,2,24,0.056487866876927,8.438101137234035,0.0001342723272028,0.237701181911132,N-gram containing a sensitivity stop word
great deal,2,23,0.0541342057570551,8.47892313175429,0.00010626549834,0.1963000968684868,N-gram containing a sensitivity stop word
insulation thanks,2,23,0.0541342057570551,8.47892313175429,0.00015570015292,0.2876187998746108,N-gram containing a sensitivity stop word
love watching,2,23,0.0541342057570551,8.47892313175429,0.0001412117676377,0.2608549726793591,N-gram containing a sensitivity stop word
really nice,2,23,0.0541342057570551,8.47892313175429,0.0001159484252739,0.214186988896272,N-gram containing a sensitivity stop word
video going,2,23,0.0541342057570551,8.47892313175429,0.0001481243639435,0.2736243413420792,N-gram containing a sensitivity stop word
video years,2,23,0.0541342057570551,8.47892313175429,0.0001235327327467,0.2281971833136161,N-gram containing a sensitivity stop word
watch videos,2,23,0.0541342057570551,8.47892313175429,0.0001353843412878,0.2500901960129668,N-gram containing a sensitivity stop word
enjoy videos,2,22,0.0517805446371831,8.521482746173085,0.000117196783609,0.2263336247816424,N-gram containing a sensitivity stop word
moisture content,2,22,0.0517805446371831,8.521482746173085,0.0001016561779507,0.1963211832996128,N-gram containing a sensitivity stop word
more videos,2,22,0.0517805446371831,8.521482746173085,0.0001357023273645,0.2620720355789486,N-gram containing a sensitivity stop word
thank god,2,22,0.0517805446371831,8.521482746173085,0.0001488509548792,0.2874650236342479,N-gram containing a sensitivity stop word
thank informative,2,22,0.0517805446371831,8.521482746173085,0.0001281083131867,0.2474062682893557,N-gram containing a sensitivity stop word
thanks charlie,2,22,0.0517805446371831,8.521482746173085,0.0001525418738751,0.2945930270606854,N-gram containing a sensitivity stop word
video explaining,2,22,0.0517805446371831,8.521482746173085,0.0001224381009508,0.2364557997772693,N-gram containing a sensitivity stop word
video seen,2,22,0.0517805446371831,8.521482746173085,0.000118797950296,0.229425841555916,N-gram containing a sensitivity stop word
video thing,2,22,0.0517805446371831,8.521482746173085,0.0001192885877327,0.2303733739545116,N-gram containing a sensitivity stop word
video when,2,22,0.0517805446371831,8.521482746173085,0.0001582407723008,0.3055988951248379,N-gram containing a sensitivity stop word
videos informative,2,22,0.0517805446371831,8.521482746173085,0.000108388779787,0.2093233675823904,N-gram containing a sensitivity stop word
came video,2,21,0.0494268835173111,8.565934508743918,0.0001261205762951,0.2551659488120331,N-gram containing a sensitivity stop word
charlie great,2,21,0.0494268835173111,8.565934508743918,0.0001107416973504,0.2240515473966103,N-gram containing a sensitivity stop word
great review,2,21,0.0494268835173111,8.565934508743918,0.0001259621927928,0.2548455088185245,N-gram containing a sensitivity stop word
insulation great,2,21,0.0494268835173111,8.565934508743918,0.0001386820424787,0.2805801875615732,N-gram containing a sensitivity stop word
